Node1,Node2,Weight
1,48,9
1,53,10
1,54,4
1,73,5
1,88,7
1,92,5
1,119,4
1,126,5
1,133,5
1,194,5
1,236,6
1,280,6
1,299,7
1,315,6
1,322,9
1,346,5
2,20,8
2,115,8
2,116,7
2,149,9
2,226,9
2,312,8
2,326,8
2,333,5
2,343,9
3,9,13
3,25,12
3,26,12
3,67,12
3,72,6
3,85,6
3,122,12
3,142,10
3,170,12
3,188,13
3,200,13
3,228,2
3,274,7
3,280,10
3,283,3
3,323,13
4,78,8
4,152,3
4,181,9
4,195,8
4,218,8
4,273,8
4,275,9
4,306,8
4,328,8
5,87,3
5,122,6
5,156,3
5,158,2
5,169,3
5,180,3
5,187,2
5,204,3
5,213,5
5,235,3
5,315,6
5,316,1
6,89,5
6,95,4
6,147,5
6,219,4
6,319,5
7,22,6
7,31,7
7,38,3
7,65,2
7,87,10
7,103,3
7,129,6
7,136,10
7,168,8
7,213,9
7,246,10
7,291,8
7,304,9
7,308,9
7,315,9
7,322,10
7,339,16
7,340,4
7,347,6
8,91,7
8,110,4
8,193,3
8,201,3
8,245,3
8,259,7
8,264,4
9,21,31
9,25,38
9,26,44
9,30,9
9,56,42
9,66,12
9,67,42
9,69,6
9,72,16
9,75,12
9,79,11
9,85,12
9,105,10
9,113,26
9,119,28
9,122,37
9,128,17
9,133,11
9,134,14
9,141,18
9,142,27
9,148,10
9,156,8
9,161,15
9,169,19
9,170,30
9,176,11
9,185,19
9,186,23
9,188,39
9,199,24
9,200,34
9,203,28
9,224,18
9,231,9
9,232,18
9,252,34
9,258,11
9,271,43
9,272,28
9,276,12
9,277,31
9,280,29
9,285,25
9,291,21
9,295,4
9,297,19
9,304,30
9,315,28
9,322,37
9,323,26
9,329,10
9,334,18
9,341,9
9,342,16
10,67,8
10,142,8
10,169,6
10,200,7
10,277,9
10,285,7
10,291,4
10,323,7
10,332,9
13,21,19
13,26,22
13,56,27
13,59,14
13,65,5
13,67,24
13,82,18
13,98,27
13,109,16
13,118,23
13,119,20
13,148,7
13,172,22
13,188,13
13,199,21
13,211,18
13,223,18
13,236,7
13,238,17
13,239,24
13,252,28
13,261,22
13,265,18
13,271,29
13,277,18
13,304,19
13,313,21
13,325,25
13,332,13
13,342,21
14,20,9
14,28,11
14,41,13
14,115,12
14,116,11
14,144,11
14,149,10
14,151,6
14,214,8
14,226,11
14,310,4
14,312,13
14,326,12
14,343,11
16,29,4
16,82,6
16,118,6
16,172,8
16,261,4
16,329,3
16,331,5
16,332,4
17,19,5
17,41,12
17,111,7
17,115,10
17,116,8
17,137,9
17,140,9
17,144,7
17,214,10
17,310,4
17,312,11
17,326,10
19,41,6
19,89,2
19,112,2
19,115,6
19,138,1
19,174,3
19,175,2
19,214,7
19,227,2
19,289,2
19,293,2
19,312,6
19,319,2
19,343,5
20,41,10
20,44,5
20,111,7
20,115,10
20,149,10
20,162,6
20,214,9
20,226,10
20,312,13
20,326,12
20,333,7
20,343,14
21,25,33
21,26,44
21,31,12
21,39,11
21,40,23
21,55,14
21,56,43
21,66,13
21,67,48
21,88,6
21,98,28
21,104,24
21,105,10
21,108,9
21,109,25
21,119,28
21,121,7
21,122,46
21,123,14
21,127,9
21,134,13
21,136,9
21,142,34
21,159,10
21,161,16
21,165,8
21,169,25
21,170,29
21,184,9
21,186,29
21,188,30
21,197,9
21,200,39
21,203,34
21,212,11
21,223,18
21,232,13
21,235,2
21,236,22
21,239,35
21,248,13
21,251,8
21,252,44
21,271,39
21,272,26
21,274,7
21,277,42
21,280,30
21,281,10
21,284,9
21,297,20
21,304,33
21,308,15
21,313,17
21,315,27
21,322,34
21,323,25
21,325,24
21,332,24
21,334,20
21,342,20
21,345,9
22,87,4
22,158,3
22,168,6
22,185,1
22,277,5
22,308,4
22,324,2
22,339,7
22,347,4
23,51,3
23,61,1
23,83,3
23,99,3
23,116,2
23,124,1
23,144,2
23,155,1
23,175,3
23,190,1
23,227,3
23,230,1
23,237,3
23,240,1
23,245,1
23,267,1
24,53,12
24,57,7
24,80,13
24,92,15
24,94,14
24,101,14
24,180,14
24,187,13
24,194,14
24,242,15
24,249,15
24,266,13
24,299,13
24,302,14
24,346,15
25,26,43
25,31,13
25,39,10
25,40,25
25,51,5
25,56,41
25,65,4
25,67,41
25,69,7
25,72,17
25,73,4
25,76,2
